ensembl_id	gene_symbol	p.value	FDR	summary.logFC	logFC.2	logFC.3	logFC.4	logFC.5	logFC.6	logFC.7	logFC.8	logFC.9	logFC.10	logFC.11	logFC.12	logFC.13
ENSG00000153064	BANK1	1.5822979419792446e-106	1.1493812250537235e-102	1.94847348541376	1.950851052853229	1.9579572116153467	1.9504563792226728	1.9317035052289095	1.9756039369098783	1.9756039369098783	1.9548114824639733	1.9756039369098783	1.952400902174974	1.961333623141293	1.9756039369098788	1.94847348541376
ENSG00000247982	LINC00926	1.0698124485825502e-90	3.8855588132518144e-87	1.3880583756468328	1.4078366427736029	1.42706656001975	1.3898128239269514	1.3880583756468328	1.4138114875305734	1.4221194008885207	1.42706656001975	1.42706656001975	1.4139885230753106	1.4121867716747898	1.42706656001975	1.42706656001975
ENSG00000211898	IGHD	1.8897299379901955e-78	4.575666089853604e-75	1.7477918897136488	1.7639257590887598	1.7134064895006311	1.7379272303305584	1.7512171423384342	1.7809860011169982	1.7796657996091316	1.7477918897136488	1.782759830807173	1.7512938592705931	1.782759830807173	1.782759830807173	1.7525265448101364
ENSG00000163534	FCRL1	3.211944968638686e-44	5.832892063047831e-41	0.8185165976639232	0.855577062321401	0.8185165976639232	0.8473869936586934	0.8409975299199135	0.856525892235939	0.8562244520031451	0.85940327180485665	0.85940327180485665	0.85940327180485665	0.85940327180485665	0.85940327180485665	0.85940327180485665
ENSG00000177455	CD19	5.5364868559745865e-43	8.043408104359857e-40	1.0300378288287075	1.0527333040750002	1.0650057699222315	1.0501453310463191	1.0650057699222315	1.063231940232057	1.0626639993290117	1.0300378288287075	1.0650057699222315	1.065005769922232	1.0650057699222315	1.0650057699222315	1.0650057699222315
ENSG00000224137	LINC01857	5.790054964539458e-40	7.009826543735774e-37	1.2307521851194307	1.2454371815095069	1.243043359966555	1.257375159543639	1.2610217408746325	1.2734680804339915	1.2736350511335164	1.254449455678261	1.2752419101241663	1.2307521851194307	1.2550413728801335	1.2752419101241663	1.2752419101241663
ENSG00000110777	POU2AF1	1.928511542866102e-37	2.0012439781970622e-34	0.7228325213626998	0.7504873892062436	0.7228325213626998	0.7544485150144583	0.7271386151694461	0.7550344237922487	0.7636084076614863	0.7636084076614863	0.7636084076614863	0.7636084076614863	0.7636084076614863	0.7636084076614863	0.7636084076614863
ENSG00000132185	FCRLA	3.8496925016800667e-35	3.4955207915254803e-32	0.6756546410369865	0.7362236814276647	0.727979828403713	0.7283477306676216	0.7325945998972864	0.7394323159340216	0.7417678135819538	0.7209753591360486	0.7417678135819538	0.7417678135819538	0.6756546410369865	0.7417678135819538	0.7417678135819538
ENSG00000159958	TNFRSF13C	2.1387043347996214e-31	1.7261720319982674e-28	2.029676801345396	2.1186172581991327	2.1128030268412408	2.0741612854756717	2.040581137939028	1.9865669961504129	2.088655633179766	2.084921941784525	2.139344126482136	2.029676801345396	2.088484790820772	2.139344126482136	2.139344126482136
ENSG00000196092	PAX5	3.572482507582474e-28	2.5950512935079153e-25	0.7288881587705189	0.7544584515186274	0.763856099864043	0.7538111297321519	0.763856099864043	0.7585414706395308	0.763856099864043	0.7288881587705189	0.763856099864043	0.763856099864043	0.6738597742745899	0.763856099864043	0.763856099864043
ENSG00000156738	MS4A1	6.436658380038151e-28	4.250535133872457e-25	3.652490307945554	3.7181573750448216	3.7014135782436153	3.7141610339307536	3.739833794576376	3.74656910636447	3.7604859780655553	3.652490307945554	3.778993893174828	3.720102933797117	3.741280594867205	3.778993893174828	3.740062645429051
ENSG00000105369	CD79A	1.4375989848144887e-26	8.70226585474369e-24	3.03704425109058	3.253825704743297	3.0919129137548955	2.8746236294736858	3.101469629019086	3.2432476460969073	3.1561997896322183	3.2005342966017	3.290294857680706	3.03704425109058	3.273233879176878	3.297636521820462	3.273975033305643
ENSG00000104921	FCER2	4.181504772058872e-26	2.336496204941204e-23	1.8742950598032728	1.2656430889689425	1.92156193400326	1.9434679306786669	1.9252126161347831	1.9626102716400615	1.9608127601017185	1.8742950598032728	1.9697870986450745	1.9697870986450745	1.9486168816714111	1.9697870986450745	1.9697870986450745
ENSG00000137101	CD72	2.2348084659509533e-21	1.1595463354762698e-18	1.2076365230478263	0.8746541131974297	1.249995180391765	1.2493965221481609	1.251309833160236	1.2538341230708798	1.2647491439338605	1.2464619497710134	1.2636099859404477	1.2282880992783722	1.2624818005232197	1.2076365230478263	1.2498359922507598
ENSG00000128218	VPREB3	2.2784531223975926e-20	1.1033788987397398e-17	1.1845302307024068	1.2449922910213116	1.215748860793333	1.2393275031182356	1.2579986186951997	1.2579986186951997	1.2551184553967818	1.1845302307024068	1.2579986186951997	1.2347955839602949	1.2579986186951997	1.2579986186951997	1.2579986186951997
ENSG00000211899	IGHM	4.016552102374121e-20	1.8235146544778502e-17	3.244756324130337	3.7895921123955856	3.279316479981298	2.99869617644934	3.2891780006724822	3.864765867618126	3.874367515121388	3.779071731216712	3.9104572392788697	3.652822622967087	3.8234468370988024	3.910457239278869	3.244756324130337
ENSG00000211679	IGLC3	7.989869941642363e-20	3.414024426828821e-17	0.8896722629037435	0.9415391746124816	0.9415391746124816	0.9268171534604496	0.9085011721947364	0.9397262580338532	0.9358067588867476	0.9415391746124816	0.9415391746124816	0.9415391746124816	0.9415391746124816	0.8896722629037435	0.9415391746124816
ENSG00000012124	CD22	3.1855794112169596e-19	1.285558269060003e-16	1.4369534828607489	1.4945531259341442	1.5675497493612636	1.547307617800367	1.5420550595652378	1.5558504917985942	1.5675497493612636	1.4369534828607489	1.5675497493612636	1.554471712416824	1.4940851841007603	1.5675497493612636	1.5332530349452718
ENSG00000007312	CD79B	3.907037205358492e-15	1.493722013669686e-12	1.195987724211972	1.4351757897512791	1.3696713751969265	1.2490752977375723	1.3431748000995594	1.4558643261436326	1.3252173417228972	1.247178701848375	1.4960244692393605	1.195987724211972	1.4827247371022656	1.4773152181509948	1.4960244692393605
ENSG00000165312	OTUD1	6.123464408257162e-15	2.2240422730790027e-12	1.2088484835669002	1.1002942040991786	1.5431016569082323	1.3224045490064968	1.2859656018903431	1.383082362511528	1.342421117165953	1.2088484835669002	1.6097246664652902	1.4903095684203709	1.2962989427603906	1.6643793395490292	1.5421928656380262
ENSG00000104894	CD37	4.255320612326467e-14	1.4719356632352128e-11	2.1287127181425984	3.2763923679386995	3.2306694421742215	2.407822860451871	3.157667362988641	2.1627197623067005	1.7348845169381484	3.387661831126544	2.995131737301108	2.5596443884243465	2.604216865883362	3.8263591864614592	2.1287127181425984
ENSG00000073849	ST6GAL1	8.95124555612718e-14	2.9555385327139913e-11	1.1501831634683004	1.0597828413310952	1.1600786710897926	1.102965923903232	1.204978464276607	1.1731641522041518	1.138093867480882	1.0507977817827392	1.1501831634683004	1.1017787472497051	1.230432411352581	1.1573659865486556	1.2523639184397546
